GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-203114-203468-1630551-1642259-1642267-,K. Middleton - C. McCollum - J. Champagnie - A. Sarr - B. Carrington,1610612764,WAS,4,1,3,0.25,16.416667,17,34,0.5,4,15,0.267,5,6,0.833,5,6,11,9,3,3,1,3,5,6,43,-15,7,2,204,41,14,12,13,64,13,11,73,13,14,46,11,17,15,13,189,11,19,210,205,10,12,217,49250
Lineups,-1630557-1641715-1642259-1642267-1642273-,C. Kispert - C. Whitmore - A. Sarr - B. Carrington - K. George,1610612764,WAS,3,0,3,0,10.383333,12,22,0.545,3,7,0.429,1,1,1,2,5,7,6,1,1,1,1,5,4,28,1,13,47,204,47,15,15,15,58,19,19,49,64,81,1,19,21,20,16,104,22,19,163,205,20,16,46,31150
Lineups,-1641715-1642259-1642267-1642273-1642848-,C. Whitmore - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,4,0,4,0,9.666667,3,13,0.231,0,3,0,2,3,0.667,1,3,4,1,5,2,1,2,1,5,8,-19,7,47,211,47,16,56,24,135,86,48,86,34,33,62,39,40,40,71,209,15,19,199,81,15,63,220,29000
Lineups,-1641731-1642259-1642267-1642273-1642848-,B. Coulibaly - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,3,0,3,0,9.65,8,17,0.471,1,2,0.5,1,1,1,1,6,7,4,6,2,5,0,3,4,18,0,13,47,204,47,17,18,19,92,42,70,27,64,81,1,39,17,20,19,210,15,3,1,177,20,19,62,28950
Lineups,-203468-1641731-1642259-1642273-1642848-,C. McCollum - B. Coulibaly - A. Sarr - K. George - T. Johnson,1610612764,WAS,3,0,3,0,9.205,12,19,0.632,7,10,0.7,6,6,1,2,5,7,9,2,0,0,2,5,5,37,5,13,47,204,47,18,15,17,41,9,14,18,8,14,1,19,21,20,13,161,68,65,199,205,15,14,11,27615
Lineups,-1630557-1641715-1641774-1642273-1642848-,C. Kispert - C. Whitmore - T. Vukcevic - K. George - T. Johnson,1610612764,WAS,2,1,1,0.5,8.45,8,21,0.381,2,9,0.222,0,0,0,1,11,12,3,2,2,2,2,3,1,18,12,23,2,28,28,19,18,16,112,25,15,80,89,97,89,39,13,14,30,161,15,10,199,177,58,19,3,25350
Lineups,-1630557-1641715-1641774-1642267-1642273-,C. Kispert - C. Whitmore - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,2,0,2,0,8.05,11,16,0.688,4,7,0.571,1,1,1,2,7,9,7,4,3,1,0,3,2,27,5,23,47,174,47,20,17,20,27,13,19,25,64,81,1,19,16,16,15,203,11,19,1,177,34,17,11,24150
Lineups,-203468-1630551-1642259-1642273-1642848-,C. McCollum - J. Champagnie - A. Sarr - K. George - T. Johnson,1610612764,WAS,1,0,1,0,7.916667,8,18,0.444,3,7,0.429,2,3,0.667,3,6,9,4,1,2,0,0,2,2,21,6,59,47,28,47,21,18,18,97,19,19,49,34,33,62,14,17,16,19,104,15,65,1,150,34,18,7,23750
Lineups,-1641715-1641731-1641774-1642267-1642273-,C. Whitmore - B. Coulibaly - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,2,0,2,0,6.966667,5,11,0.455,2,4,0.5,3,3,1,2,5,7,3,6,0,1,2,3,2,15,-9,23,47,174,47,22,31,26,94,25,35,27,24,33,1,19,21,20,30,210,68,19,199,177,34,28,208,20900
Lineups,-203468-1642259-1642267-1642273-1642848-,C. McCollum - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,4,0,4,0,6.236667,5,12,0.417,1,6,0.167,1,2,0.5,1,8,9,3,2,0,2,1,2,1,12,-4,7,47,211,47,23,31,25,104,42,23,83,64,40,73,39,15,16,30,161,68,10,163,150,58,38,170,18710
